Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,CO,01/01/2020 00:00,,mg m-3,P
BL0,CO,02/01/2020 00:00,,mg m-3,P
BL0,CO,03/01/2020 00:00,,mg m-3,P
BL0,CO,04/01/2020 00:00,,mg m-3,P
BL0,CO,05/01/2020 00:00,,mg m-3,P
BL0,CO,06/01/2020 00:00,,mg m-3,P
BL0,CO,07/01/2020 00:00,,mg m-3,P
BL0,CO,08/01/2020 00:00,,mg m-3,P
BL0,CO,09/01/2020 00:00,,mg m-3,P
BL0,CO,10/01/2020 00:00,,mg m-3,P
BL0,CO,11/01/2020 00:00,,mg m-3,P
BL0,CO,12/01/2020 00:00,,mg m-3,P
BL0,CO,13/01/2020 00:00,,mg m-3,P
BL0,CO,14/01/2020 00:00,,mg m-3,P
BL0,CO,15/01/2020 00:00,,mg m-3,P
BL0,CO,16/01/2020 00:00,,mg m-3,P
BL0,CO,17/01/2020 00:00,,mg m-3,P
BL0,CO,18/01/2020 00:00,,mg m-3,P
BL0,CO,19/01/2020 00:00,,mg m-3,P
BL0,CO,20/01/2020 00:00,,mg m-3,P
BL0,CO,21/01/2020 00:00,,mg m-3,P
BL0,CO,22/01/2020 00:00,,mg m-3,P
BL0,CO,23/01/2020 00:00,,mg m-3,P
BL0,CO,24/01/2020 00:00,,mg m-3,P
BL0,CO,25/01/2020 00:00,,mg m-3,P
BL0,CO,26/01/2020 00:00,,mg m-3,P
BL0,CO,27/01/2020 00:00,,mg m-3,P
BL0,CO,28/01/2020 00:00,,mg m-3,P
BL0,CO,29/01/2020 00:00,,mg m-3,P
BL0,CO,30/01/2020 00:00,,mg m-3,P
BL0,CO,31/01/2020 00:00,,mg m-3,P
BL0,NO,01/01/2020 00:00,14.30000,ug m-3,P
BL0,NO,02/01/2020 00:00,1.70000,ug m-3,P
BL0,NO,03/01/2020 00:00,21.20000,ug m-3,P
BL0,NO,04/01/2020 00:00,15.20000,ug m-3,P
BL0,NO,05/01/2020 00:00,2.70000,ug m-3,P
BL0,NO,06/01/2020 00:00,3.00000,ug m-3,P
BL0,NO,07/01/2020 00:00,2.20000,ug m-3,P
BL0,NO,08/01/2020 00:00,8.60000,ug m-3,P
